slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,periodic_k=7,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,231.1567701863154,248.08184411171223,231.1567701863154,248.08184411171223,0.0,0,3.8,0.9848,0.0152,0.7019502673049798,0.7019502673049798,2.3143780095271116,1.6124277422221318,1,0,0,20.0,1.5
1,0,periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,160.0,260.0,300.0,260.0,226.4181724085267,246.9910140274262,226.1567701863154,246.08184411171223,0.9460026730492475,1,5.15,0.9597714939856392,0.04022850601436081,0.8391858969762465,0.8437562380655919,2.3548432485162114,1.5110870104506195,1,0,0,20.0,1.5
2,0,periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.07756755714107,245.45417923578205,221.1567701863154,244.08184411171223,1.652625635428413,2,6.5,0.9352815923202861,0.06471840767971393,0.9663816265145801,0.9828591651167535,2.388326430970797,1.4054672658540435,1,0,0,20.0,1.5
3,0,periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,140.0,260.0,280.0,260.0,216.77423109016448,242.63908039511017,216.1567701863154,242.08184411171223,0.8317272649836929,3,7.85,0.9142286136537867,0.08577138634621331,1.081844172816403,1.0926058160433643,2.4139407009057647,1.3213348848624005,1,0,0,20.0,1.5
4,0,periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,130.0,260.0,270.0,260.0,212.07516620711908,240.2295127874711,211.1567701863154,240.08184411171223,0.9301920709339501,4,9.2,0.8911070678403986,0.10889293215960139,1.184118925123463,1.1993551234390274,2.430900232668215,1.2315451092291878,1,0,0,20.0,1.5
5,0,periodic_k=7,0.0,1.0,27,left,left,1.0,0.5,120.0,260.0,260.0,260.0,207.73695409951833,238.3985163459117,206.1567701863154,238.08184411171223,1.6116024644614335,5,10.549999999999999,0.8666738944549618,0.1333261055450382,1.2720441921493313,1.2967351517140486,2.438568155329287,1.1418330036152382,1,0,0,20.0,1.5
6,0,periodic_k=7,0.0,1.0,27,down,left,1.0,0.5,120.0,250.0,250.0,260.0,202.14071861818783,236.61269655618463,201.1567701863154,236.08184411171223,1.1180155787763062,6,11.899999999999999,0.8448844649477534,0.15511553505224668,1.352679630713701,1.3687880465741649,2.553993996226349,1.1852059496521843,1,0,0,20.0,1.5
7,1,periodic_k=7,1.0,2.0,26,down,left,1.0,0.5,120.0,240.0,240.0,260.0,197.7080629980314,234.75471264920972,197.7080629980314,234.75471264920972,0.0,0,3.8,0.9848,0.0152,1.4655332780598815,1.4655332780598815,2.6730716841547304,1.2075384060948489,1,0,0,20.0,1.5
8,0,periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,230.0,230.0,260.0,192.08200771967375,232.96457584894821,192.7080629980314,232.75471264920972,0.6602937029564635,1,5.15,0.960414339168348,0.03958566083165205,1.5604707689867696,1.5521919962740893,2.7951976132382694,1.24300561696418,1,0,0,20.0,1.5
9,0,periodic_k=7,0.0,2.0,26,down,left,1.0,0.5,120.0,220.0,220.0,260.0,187.36760908345082,231.62400574972938,187.7080629980314,230.75471264920972,0.9335841486252461,2,6.5,0.9368994356655932,0.0631005643344068,1.662985077595187,1.6632716773996672,2.919495741500019,1.256224064100352,1,0,0,20.0,1.5
