slot,sync,sync_reason,sync_cost,total_sync_cost,remaining_budget,move_uav1,move_uav2,p_s,p_j,uav1_x,uav1_y,uav2_x,uav2_y,eve_true_x,eve_true_y,eve_est_x,eve_est_y,eve_error,aoi,sigma,twin_quality,twin_badness,pred_r_sec,true_r_sec,r_b,r_e,outage,success,served_user_idx,movement_cost,power_cost
0,1,full_sync,1.0,1.0,27,left,left,1.0,0.5,170.0,260.0,310.0,260.0,231.1567701863154,248.08184411171223,231.1567701863154,248.08184411171223,0.0,0,3.8,0.9848,0.0152,0.7019502673049798,0.7019502673049798,2.3143780095271116,1.6124277422221318,1,0,0,20.0,1.5
1,1,full_sync,1.0,2.0,26,left,left,1.0,0.5,160.0,260.0,300.0,260.0,226.4181724085267,246.9910140274262,226.4181724085267,246.9910140274262,0.0,0,3.8,0.9848,0.0152,0.8437562380655919,0.8437562380655919,2.3548432485162114,1.5110870104506195,1,0,0,20.0,1.5
2,1,full_sync,1.0,3.0,25,left,left,1.0,0.5,150.0,260.0,290.0,260.0,222.07756755714107,245.45417923578205,222.07756755714107,245.45417923578205,0.0,0,3.8,0.9848,0.0152,0.9828591651167535,0.9828591651167535,2.388326430970797,1.4054672658540435,1,0,0,20.0,1.5
3,1,full_sync,1.0,4.0,24,left,left,1.0,0.5,140.0,260.0,280.0,260.0,216.77423109016448,242.63908039511017,216.77423109016448,242.63908039511017,0.0,0,3.8,0.9848,0.0152,1.0926058160433643,1.0926058160433643,2.4139407009057647,1.3213348848624005,1,0,0,20.0,1.5
4,1,full_sync,1.0,5.0,23,left,left,1.0,0.5,130.0,260.0,270.0,260.0,212.07516620711908,240.2295127874711,212.07516620711908,240.2295127874711,0.0,0,3.8,0.9848,0.0152,1.1993551234390274,1.1993551234390274,2.430900232668215,1.2315451092291878,1,0,0,20.0,1.5
5,1,full_sync,1.0,6.0,22,left,left,1.0,0.5,120.0,260.0,260.0,260.0,207.73695409951833,238.3985163459117,207.73695409951833,238.3985163459117,0.0,0,3.8,0.9848,0.0152,1.2967351517140486,1.2967351517140486,2.438568155329287,1.1418330036152382,1,0,0,20.0,1.5
6,1,full_sync,1.0,7.0,21,down,left,1.0,0.5,120.0,250.0,250.0,260.0,202.14071861818783,236.61269655618463,202.14071861818783,236.61269655618463,0.0,0,3.8,0.9848,0.0152,1.3687880465741649,1.3687880465741649,2.553993996226349,1.1852059496521843,1,0,0,20.0,1.5
7,1,full_sync,1.0,8.0,20,down,left,1.0,0.5,120.0,240.0,240.0,260.0,197.7080629980314,234.75471264920972,197.7080629980314,234.75471264920972,0.0,0,3.8,0.9848,0.0152,1.4655332780598815,1.4655332780598815,2.6730716841547304,1.2075384060948489,1,0,0,20.0,1.5
8,1,full_sync,1.0,9.0,19,down,left,1.0,0.5,120.0,230.0,230.0,260.0,192.08200771967375,232.96457584894821,192.08200771967375,232.96457584894821,0.0,0,3.8,0.9848,0.0152,1.5521919962740893,1.5521919962740893,2.7951976132382694,1.24300561696418,1,0,0,20.0,1.5
9,1,full_sync,1.0,10.0,18,down,left,1.0,0.5,120.0,220.0,220.0,260.0,187.36760908345082,231.62400574972938,187.36760908345082,231.62400574972938,0.0,0,3.8,0.9848,0.0152,1.6632716773996672,1.6632716773996672,2.919495741500019,1.256224064100352,1,0,0,20.0,1.5
